Title,Price,Shipping,Condition,Is Auction?,No Best Offer
New Nintendo 3DS LL Pearl White Console only japanese Ver Refurbished,C $287.75,Free shipping,Excellent - Refurbished,False,True
New Nintendo 3DS LL Pearl White Console only japanese Ver top IPS Refurbished,C $332.96,Free shipping,Excellent - Refurbished,False,True
Dual IPS NEW Nintendo 3DS LL XL Console -metallic RED tested In stock USED rare,C $326.12,Free shipping,Pre-Owned,False,True
New Nintendo 3DS LL Metallic Red Region Japan,C $402.22,Free shipping,Brand New,False,True
New Nintendo 3DS LL Metallic Red Console Loopy Capture Kit 128GB,C $787.88,+C $42.83 shipping,Pre-Owned,False,True
Nintendo new 3DS LL XL Accessory Complete Console Box Japanese Language Edition,C $323.37 to C $380.92,Free shipping,Pre-Owned,False,True
[ MINT IN BOX ] NINTENDO NEW 3DS XL LL Metallic Blue Console Japan Version 4275,C $287.62,+C $27.39 shipping,Pre-Owned,False,True
IPS Nintendo New 3DS LL XL Metallic Black IPS Screen TOP Japan ver S3229,C $213.75,+C $9.59 shipping,Pre-Owned,False,True
New Nintendo 3DS XL Handheld Gaming Console Metallic Red Read!!,C $271.31,+C $46.23 shipping,Pre-Owned,False,True
Dual IPS Nintendo New 3DS XL Metallic Blue IPS Screen Top Bottom Japan ver A4441,C $277.48,+C $9.59 shipping,Pre-Owned,True,True
Ds Lite and New 3DS Xl Parts. Read Description,C $47.96,+C $37.41 shipping,Parts Only,False,True
New 3DS LL XL Pearl White Japan Nintendo Console region Japanese ♯618,C $253.50,+C $20.55 shipping,Pre-Owned,False,True
New Nintendo 3DS XL System - Black - Bundle - Great Screens - Tested/Works!,C $287.75,+C $53.93 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Black Console w/ Charger & Stylus - See Condition,C $226.09,+C $54.78 shipping,Pre-Owned,False,True
"Nintendo new 3DS LL XL Console Metallic Red With Charger, pen, Mario Kart 7 JP",C $226.09,Free shipping,Pre-Owned,False,True
Modded New 3DS XL (Red) 64 Gb Storage - W/ Installed Games & Accessories + Hshop,C $313.79,+C $28.84 shipping,Pre-Owned,True,True
Nintendo New 3DS LL XL Console Metallic Blue Tested working SDcard included,C $227.45,Free shipping,Pre-Owned,False,True
dual IPS New Nintendo 3DS LL XL Pearl White top Dual IPS LCD JP VG,C $546.73,Free shipping,Pre-Owned,False,True
New Nintendo 3DS LL XL Console Pearl White Top IPS LCD Near Mint / Region Free,C $411.06,Free shipping,Pre-Owned,False,True
New Nintendo 3DS LL XL Console Pearl White Dual IPS LCD Excellent / Region Free,C $452.17,Free shipping,Pre-Owned,False,True
Nintendo New 3DS XL 4GB Handheld Gaming System - Black - CIB,C $397.36,+C $40.78 shipping,New (Other),False,False
[ NEAR MINT ] NINTENDO NEW 3DS XL LL Metallic Black Console Japan Version 4269,C $232.81,+C $13.69 shipping,Pre-Owned,False,True
"Nintendo ""New"" 3DS XL [RED-001] Metallic Red Handheld Console with OEM Charger",C $274.04,+C $27.67 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Monster Hunter Cross Red. No Box,C $232.94,+C $26.46 shipping,Pre-Owned,False,True
New Nintendo 3Ds LL XL Console Metallic Black Japan L2408,C $167.86,Free shipping,Pre-Owned,True,True
New Nintendo 3Ds LL XL Console Metallic Blue Japan L2411,C $156.89,Free shipping,Pre-Owned,True,True
Nintendo New 3DS XL TN Black Handheld Console w/Charger And Screen Protectors,C $330.00,+C $17.00 shipping,Pre-Owned,False,True
Console - RARE Limited New Nintendo 3DS LL XL Handheld Gaming in stock,C $239.79,Free shipping,Pre-Owned,False,True
New Nintendo 3DS XL - Super Nintendo SNES Limited Edition - w/ Box & Charger,C $616.61,+C $37.78 shipping,Pre-Owned,False,True
Nintendo new 3DS LL Lime Black Console Used Excellent from Japan,C $286.11,Free shipping,Pre-Owned,False,True
"Nintendo New 3DS XL Galaxy Edition - Top IPS, 100+ 3DS GAMES + Box + 128gb RARE",C $350.00,+C $15.00 shipping,Pre-Owned,False,False
B120 Nintendo new 3DS LL XL console Pearl White Japan stylus pen game USED,C $282.96,+C $26.03 shipping,Pre-Owned,True,True
New Nintendo 3DS LL XL metallic RED Instock Japanese console Fast ship IPS,C $226.09,Free shipping,Pre-Owned,False,False
New Nintendo 3DS XL System - Galaxy Edition - w/ Charger - Tested/Works!,C $297.00,+C $20.00 shipping,Pre-Owned,False,False
Nintendo New 3DS XL Handheld System Console Black. Model RED-001 For Parts,C $136.96,+C $23.62 shipping,Parts Only,False,False
IPS Nintendo NEW 3DS LL XL Pearl White in stock System Charger  console JP USED,C $226.09,Free shipping,Pre-Owned,False,True
Zelda Hyrule Edition New Nintendo 3DS XL Top IPS 100+ games Gold N3DS not LL,C $400.00,+C $10.00 shipping,Pre-Owned,True,True
Nintendo New 3DS XL LL | USA Seller (Tested),C $232.94,+C $35.68 shipping,Pre-Owned,False,True
New Nintendo 3DS XL System - Black - Bundle - With Game - Tested/Works!,C $308.31,+C $54.54 shipping,Pre-Owned,False,True
Nintendo New 3DS XL SNES Edition Console With Charger No Stylus,C $589.14,+C $31.95 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Gray Black Console W/ Stylus - Charger - US Model - Tested,C $315.14,+C $42.57 shipping,Pre-Owned,False,True
Nintendo New 3DS XL 4GB Handheld Gaming System - Black Used In Perfect Condition,C $284.33,+C $22.97 shipping,Pre-Owned,True,True
Nintendo New 3DS XL System - Metallic Red - US Console Tested,C $294.59,+C $41.97 shipping,Pre-Owned,False,True
Nintendo 3DS LL pink X white Console System Japan NEW,C $330.16,Free shipping,Brand New,False,True
RANK B+ Nintendo New 3DS XL Metallic Blue Tested Japan ver S8646,C $219.23,+C $9.59 shipping,Pre-Owned,False,True
Nintendo “New” 3DS XL Console RED-001 FOR PARTS REPAIR Only,C $123.32,+C $23.23 shipping,Parts Only,False,True
New Nintendo 3DS XL LL White Console w/ Accessories - USA Seller,C $300.08,+C $23.43 shipping,Pre-Owned,False,True
Nintendo New 3DS XL 4GB Handheld Gaming System Black For Parts See Description,C $182.38,+C $36.34 shipping,Parts Only,True,True
Nintendo New Nintendo 3DS XL SNES Edition Gray 4 GB Handheld Console (NTSC),"C $1,342.83",+C $68.66 shipping,Brand New,False,True
"Nintendo New 3DS XL Galaxy Edition - Top IPS, 100+ 3DS GAMES + Box + 128gb RARE",C $350.00,+C $15.00 shipping,Pre-Owned,False,False
Nintendo New 3DS XL 4GB Handheld Gaming System - Black Pristine!,C $431.63,+C $32.32 shipping,Pre-Owned,False,False
Nintendo New 3DS XL Metallic Black Handheld System w/ Charger Free Shipping,C $314.94,+C $28.88 shipping,Pre-Owned,False,True
NEW Nintendo 3DS LL XL handheld USED console black  working free shipping ,C $175.39,Free shipping,Pre-Owned,False,False
" Nintendo ""new"" 3DS LL, JAPANESE, comestic blemishes as pictured, working",C $171.28,+C $47.11 shipping,Pre-Owned,False,True
New Nintendo 3DS LL XL Console Dual IPS Metallic Black Excellent / Region Free,C $452.17,Free shipping,Pre-Owned,False,True
New Nintendo 3DS XL System - Metallic Red - Bundle - Great Shape - Tested/Works!,C $315.16,+C $54.74 shipping,Pre-Owned,False,True
New Nintendo 3DS XL System - Black - Top IPS Screen - Great Shape - Tested/Works,C $328.86,+C $55.14 shipping,Pre-Owned,False,True
"New Nintendo 3DS XL Black Charger W/ Lego Game, 4gb SD, And Stylus",C $315.16,+C $28.88 shipping,Pre-Owned,False,True
L3153 Nintendo new 3DS LL XL console Metallic Blue Japan w/box,C $245.96,Free shipping,Pre-Owned,True,True
New Nintendo 3DS XL LL Metallic Black free shipping from japan,C $218.97,Free shipping,Pre-Owned,False,True
Nintendo 3DS XL Red with Stylus & Charger - With Case And Game Case Game Tested,C $274.05,+C $39.75 shipping,New (Other),False,True
New Nintendo 3DS XL System - Black - Bundle - Top IPS - Great Condition 64 GB,C $390.52,+C $43.19 shipping,Pre-Owned,False,True
IPS Nintendo New 3DS XL Metallic Blue IPS Screen Top Japan ver S3269,C $228.82,+C $9.59 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Pink White Console Stylus Japanese ver [H],C $232.81,Free shipping,Pre-Owned,False,True
Nintendo New 3DS XL Galaxy Purple Edition Console + Extras  (USA Seller),C $314.46,+C $33.65 shipping,Pre-Owned,False,True
New Nintendo 3ds XL  Fire Emblem Fates edition (loaded with games!,C $616.61,+C $49.86 shipping,New (Other),False,True
IPS Nintendo New 3DS LL XL Console Metallic Red Used Japanese,C $198.69,Free shipping,Pre-Owned,False,True
Nintendo New 3DS XL Handheld Gaming System - Black w/ PDP Mario Case,C $250.76,+C $39.07 shipping,Pre-Owned,True,True
Nintendo New 3DS XL Fire Emblem Fates Edition. Rare Console.,C $588.30,+C $75.99 shipping estimate,Pre-Owned,False,True
Nintendo New 3DS XL Metallic Black Handheld System w/ Super Mario 3D Land Bundle,C $326.05,+C $24.20 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Metallic Black Handheld System w/ Super Smash Bros. Bundle,C $328.79,+C $24.28 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Metallic Black Handheld System w/ Pre: Mario Kart 7 Bundle,C $335.64,+C $24.49 shipping,Pre-Owned,False,True
New Nintendo 3DS XL System Metallic Red w/ Case And 6 Games * VERY CLEAN BUNDLE,C $342.55,+C $24.68 shipping,Pre-Owned,False,True
“new” 3ds xl galaxy edition,C $308.31,+C $61.88 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Black Console W/ Charger - US Model - Tested,C $315.14,+C $28.88 shipping,Pre-Owned,False,True
New Nintendo 3DS XL System - Galaxy Edition - Bundle - Good Shape - Nice Screens,C $322.01,+C $54.95 shipping,Pre-Owned,False,True
New Nintendo 3DS XL System - Galaxy Edition - Bundle - Great Condition - Tested!,C $322.01,+C $54.95 shipping,Pre-Owned,False,True
IPS Nintendo New 3DS LL XL Metallic Black IPS Screen TOP Japan ver S3280,C $228.82,+C $9.59 shipping,Pre-Owned,False,True
Nintendo New 3DS XL 4GB Handheld Gaming System - Black,C $301.45,+C $36.70 shipping,Pre-Owned,False,True
Nintendo New 3DS XL  Red Handheld Console Charger Included - Fair Condition Read,C $205.54,+C $37.44 shipping,Pre-Owned,False,True
Nintendo new 3DS LL XL Console Pink x White color from Japan [ Excellent + ],C $272.46,Free shipping,Pre-Owned,False,True
L2869 Nintendo new 3DS LL XL console White Japan fx,C $250.07,Free shipping,Pre-Owned,True,True
“New” Nintendo 3DS XL RED-001 IPS Top Screen Handheld Game Console,C $299.99,+C $21.99 shipping,Pre-Owned,False,False
Nintendo NEW 3DS LL/XL Handheld Console - White JAPANESE VERSION READ,C $103.80,+C $25.94 shipping,Parts Only,False,True
New Nintendo 3DS XL Black Original Box & Charger/Screen Protectors/32 GB MicroSD,C $363.12,+C $25.29 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Metallic Red System with Stylus and Charger! *TESTED!*,C $273.98,+C $36.98 shipping,Pre-Owned,False,True
Nintendo New 3DS XL LL Console Pokemon Sun and Moon Solgaleo Lunala With CHARGER,C $383.60,+C $30.90 shipping,Pre-Owned,False,False
Nintendo New 3DS XL 64GB Upgrade - Blue - Region Free MOD,C $342.56,+C $24.69 shipping,Pre-Owned,False,False
"GENUINE Nintendo ""New"" 3DS XL - Gray w/Case & Power Cord",C $315.14,+C $28.88 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Metallic Black - (128GB Region Free),C $173.03,+C $54.12 shipping estimate,Parts Only,False,True
Nintendo New 3DS XL LL TOP IPS Region Free Read Desc Charger Stylus Included 37,C $231.57,+C $21.42 shipping,Pre-Owned,False,True
"Nintendo New 3DS XL Metallic Red System with Stylus, Case and Charger! *TESTED!*",C $274.04,+C $36.23 shipping,Pre-Owned,False,True
Nintendo New 3DS XL 4GB Handheld Gaming System - Red,C $250.07,+C $36.43 shipping,Pre-Owned,True,True
"Nintendo New 3DS XL Galaxy Edition - Top IPS, 100+ 3DS GAMES + Box + 128gb RARE",C $370.00,+C $15.00 shipping,Pre-Owned,False,True
IPS Nintendo New 3DS XL Metallic Blue IPS Screen Top Japan ver S4684,C $228.82,+C $9.59 shipping,Pre-Owned,False,True
Nintendo New 3DS XL LL | TONS OF GAMES | 128 GB SD Card *MESSAGE FOR DETAILS*,C $411.07,+C $32.26 shipping,New (Other),False,True
New Nintendo 3DS XL  Handheld Gaming System - Black  ,C $404.22,+C $31.52 shipping,New (Other),False,False
Monster Hunter 4G ‘New’ Nintendo 3DS LL / XL Console Region Free IPS Top Screen,C $294.13,+C $52.24 shipping estimate,Pre-Owned,False,True
Nintendo New Nintendo 3DS XL SNES Edition LIGHTLY USED *Read description*,C $637.17,+C $51.30 shipping,New (Other),True,True
Nintendo 3DS XL Metallic Blue and Charger PAL Tested/Working,C $191.77,+C $34.76 shipping,New (Other),False,True
Nintendo New 3DS XL Launch Edition Gold Handheld System BUNDLE,C $575.00,+C $17.56 shipping,Pre-Owned,False,False
RESERVED RANK A Dual IPS Nintendo New 3DS XL Pearl White IPS Screen Top Bottom,"C $1,041.38",+C $9.59 shipping,Pre-Owned,False,True
Nintendo New 3DS LL XL POKEMON PIKACHU EDITION Yellow Excellent w/stylus & Bonus,C $382.30,+C $13.70 shipping,Pre-Owned,False,True
IPS Nintendo New 3DS LL XL Metallic Black IPS Screen TOP Japan ver S3271,C $230.19,+C $9.59 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Metallic Blue Tested Japan ver S5855,C $211.00,+C $9.59 shipping,Pre-Owned,False,True
L2932 Ship Free Nintendo new 3DS LL XL console Metallic Black Japan fx,C $195.26,Free shipping,Pre-Owned,True,True
New Nintendo 3DS LL XL Console & Stylus Metallic Blue NTSC-J Good,C $170.60,Free shipping,Pre-Owned,True,True
"""New"" Nintendo 3DS XL System Black Handheld CIB Complete In Box",C $411.06,+C $45.40 shipping,Pre-Owned,False,True
Nintendo New 3DS XL 4GB Handheld Gaming System Black w/ OG Stylus Tested & Works,C $256.92,+C $44.30 shipping,Pre-Owned,True,True
Nintendo New 3DS XL Fire Emblem Fates Limited Edition System w/Charger Excellent,C $822.15,+C $59.87 shipping,Pre-Owned,False,False
Nintendo New 3DS XL  Handheld Gaming System - Black,C $325.43,+C $37.57 shipping,Pre-Owned,True,True
New Nintendo 3DS XL LL Pikachu Yellow Console Charger Japanese ver [CC],C $376.68,Free shipping,Pre-Owned,False,True
Nintendo New 3DS XL Monster Hunter 4 Ultimate Handheld US System,C $411.07,+C $31.71 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Metallic Red Handheld System w/ Super Smash Bros. Bundle,C $328.79,+C $29.28 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Metallic Black Handheld System w/ Mario Kart 7 Bundle,C $315.09,+C $28.88 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Metallic Black Handheld System w/ Zelda Ocarina Bundle,C $308.24,+C $28.68 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Metallic Red Handheld System w/ new Super Mario 2 Bundle,C $287.68,+C $28.08 shipping,Pre-Owned,False,True
IPS Nintendo New 3DS XL Metallic Blue IPS Screen Top Japan ver R2513,C $205.52,+C $9.59 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Black System w/Charger US Version FREE Ship!,C $280.83,+C $27.87 shipping,Pre-Owned,False,True
IPS Nintendo New 3DS XL Metallic Blue IPS Screen Top Japan ver S5804,C $224.71,+C $9.59 shipping,Pre-Owned,False,True
New Nintendo 3DS LL XL Super Smash Bros. North American edition USED No Box Blue,C $345.29,Free shipping,Pre-Owned,False,True
New 3DS black Kisekae Plate  Nintendo Console region Japanese ♯575,C $191.83,+C $20.55 shipping,Pre-Owned,False,True
"Nintendo ""New"" 3DS XL Galaxy Edition Handheld System Purple. Good Condition",C $356.26,+C $39.31 shipping,Pre-Owned,False,False
Nintendo New 3DS XL For Parts/ Not Working,C $86.50,+C $43.60 shipping estimate,Parts Only,False,True
Nintendo New 3DS XL Red Console Only Parts / Repair - Read Description Screen Da,C $150.73,+C $24.03 shipping,Parts Only,False,True
Nintendo New 3DS XL Gray Black Console W/ Stylus - Charger - US Model - Tested,C $315.14,+C $42.57 shipping,Pre-Owned,False,True
"Nintendo NEW 3DS XL Black -RED-001- w/ Stylus, 4GB SD, 2 Digital Games & Charger",C $280.89,+C $27.87 shipping,Pre-Owned,False,True
*AS IS* New Nintendo 3DS XL Galaxy System - gamer shape w/ cosmetic issues READ,C $342.55,+C $29.69 shipping,Pre-Owned,False,True
New 3DS XL LL Console Pokemon Solgaleo Lunala Nintendo Black Sun and Moon,C $469.82,Free shipping,Brand New,False,True
NEW 3DS LL XL Excellent in stock Fast shipping Handheld Console USED Nintendo,C $216.50,Free shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Upper screen IPS Pearl White Console boxed tested Japan,C $272.68,+C $27.40 shipping,Pre-Owned,False,True
IPS Nintendo New 3DS XL Metallic Black With BOX IPS Screen Bottom S5853,C $241.15,+C $9.59 shipping,Pre-Owned,False,True
New Nintendo 3DS XL with Loopy Capture Card and USB-C Charging,C $630.31,+C $38.18 shipping,Pre-Owned,False,True
New Nintendo 3DS XL Black Handheld System With Charger TESTED,C $274.04,+C $39.04 shipping,Pre-Owned,False,True
New 3DS LL XL Monster Hunter Cross Special Console region Japanese  ♯580,C $245.27,+C $20.55 shipping,Pre-Owned,False,True
New Nintendo 3DS XL Handheld Gaming Console Metallic Red Read!!,C $271.31,+C $46.23 shipping,Pre-Owned,False,True
New Nintendo 3DS LL XL Console Only Metallic Red NTSC-J Good,C $174.71,Free shipping,Pre-Owned,True,True
NEW Nintendo 3DS XL Galaxy Handheld Console Bundle - 20+ Games & More!,C $424.76,+C $55.39 shipping,Pre-Owned,False,True
New 3DS LL XL Metalic black Japan Nintendo Console region Japanese ♯592,C $232.94,+C $20.55 shipping,Pre-Owned,False,True
RANK B+ IPS Nintendo New 3DS XL Metallic Blue IPS Screen Top Japan ver S3264,C $241.15,+C $9.59 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Handheld Gaming System - Gray (Carrying Case & Charger),C $363.10,+C $66.16 shipping,Pre-Owned,False,True
32 GB USA New Nintendo 3DS XL with Pokemon Games SD,C $548.10,+C $48.77 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Red Console Only Parts / Repair - Read Description,C $150.71,+C $24.03 shipping,Parts Only,False,True
RANK B+ Nintendo New 3DS White Tested Japan ver S3271,C $227.45,+C $9.59 shipping,Pre-Owned,False,True
new Nintendo 3DS LL XL Various colors used Japan version(Japanese only) charger,C $314.88,Free shipping,Pre-Owned,False,True
New Nintendo 3DS XL Black Handheld System W/ Charger TESTED,C $274.04,+C $39.04 shipping,Pre-Owned,False,True
TOP IPS SCREEN New Nintendo 3DS XL Metallic Blue Console  QEH107069436,C $397.88,+C $61.68 shipping estimate,Pre-Owned,False,True
New Nintendo 3DS LL/XL System - Black - Bundle - Top IPS - Region Unlocked!!!,C $301.45,+C $54.33 shipping,Pre-Owned,False,True
New Nintendo 3DS XL The Legend of Zelda Hyrule Edition Console w/ Charger,C $493.29,+C $49.14 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Samus Console (Gold & Orange) w/ Accessories - USA Seller,C $513.84,+C $55.30 shipping,Pre-Owned,False,True
Dual Ips Screens New Nintendo 3DS XL Metallic Blue Console & Storage Case UK PAL,C $588.30,+C $67.19 shipping estimate,Pre-Owned,False,True
New Nintendo 3DS LL Metallic Black Japanese version Nintendo Console Mint,C $272.60,Free shipping,Pre-Owned,False,True
New 3DS black  Nintendo Console region Japanese ♯595,C $226.09,+C $20.55 shipping,Pre-Owned,False,True
New Nintendo 3DS XL Black Gray US OEM Charger & Stylus Tested & Working Nice,C $287.74,+C $45.20 shipping,Pre-Owned,False,True
 New 3ds Xl Nintendo Black Metalic   32 GB Card Included IPS TOP SCREEN !,C $346.04,+C $67.86 shipping estimate,Pre-Owned,False,True
New Nintendo 3DS XL Black,C $342.55,+C $29.69 shipping,Pre-Owned,False,True
Nintendo New 3DS LL XL Console Pikachu Yellow Pokemon Japan Limited Japan,C $431.61,+C $54.80 shipping,Pre-Owned,False,True
Nintendo New 3DS XL [RED-001] Metallic Red - US Region - OEM Charger  / 32gbSD,C $342.56,+C $39.16 shipping,Pre-Owned,True,True
Nintendo NEW 3DS XL Handheld System Galaxy Edition W/ 11 Pokemon Games,C $356.26,+C $58.85 shipping,Pre-Owned,True,True
New Nintendo 3DS XL LL Super Famicom Edition Console w/Charger Japanese Ver.,C $498.76,Free shipping,Pre-Owned,False,True
FAULTY - For Parts - New Nintendo 3DS XL Console,C $69.19,+C $44.49 shipping estimate,Parts Only,False,True
New Nintendo 3DS XL Solgaleo & Lunala Pokemon Edition Used Tested Working,C $499.99,+C $25.00 shipping,Pre-Owned,False,True
New Nintendo 3DS XL Pokémon Solgaleo Lunala - Gamestop Premium Reconditioned,C $464.51,+C $53.17 shipping,Pre-Owned,False,True
New Nintendo 3DS XL SNES Edition Gray 4 GB Handheld Console,C $513.83,+C $46.84 shipping,Pre-Owned,False,True
New Nintendo 3DS XL System - Metallic Red - Bundle - Great Condition - Tested!!!,C $301.45,+C $49.64 shipping,Pre-Owned,False,True
Nintendo New 3DS XL System Console - Metallic Red - US Console Tested Works!,C $308.29,+C $28.68 shipping,Pre-Owned,False,True
"Nintendo ""New"" 3DS XL Galaxy Edition Handheld System Purple. Good Condition",C $342.56,+C $29.69 shipping,Pre-Owned,False,True
New Nintendo 3DS XL Galaxy Edition Handheld System - Purple,C $342.56,+C $24.69 shipping,Pre-Owned,False,True
Nintendo New 3DS XL 256gb Handheld Gaming System - Black,C $301.45,+C $63.58 shipping,Pre-Owned,False,True
“New Nintendo 3DS XL” Black GameStop Premium Recharged Sealed In Box,C $327.49,+C $38.85 shipping,Pre-Owned,False,True
Nintendo New 3DS XL 4GB Handheld Gaming System - Black,C $304.20,+C $48.42 shipping,Pre-Owned,False,True
New Nintendo 3DS XL Black Handheld System With OEM Charger TESTED NICE!,C $299.73,+C $43.51 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Gray Black Console W/ Stylus - Charger - US Model - Tested,C $315.14,+C $42.57 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Handheld Gaming System - Black,C $308.31,+C $37.02 shipping,Pre-Owned,False,True
New 3DS LL XL Super Smash Bros Editio Japan Nintendo Console region Japanese 548,C $205.54,+C $20.55 shipping,Pre-Owned,False,True
New 3DS black  Nintendo Console region Japanese ♯556,C $184.98,+C $20.55 shipping,Pre-Owned,False,True
'New' Nintendo 3DS XL - Metallic Grey - Plus Charger,C $259.19,+C $35.42 shipping,Pre-Owned,False,False
New Nintendo 3DS LL XL Console Top IPS Metallic Blue Excellent / Region Free,C $342.55,Free shipping,Pre-Owned,False,True
Nintendo New 3DS XL Black System w/Charger US Version FREE Ship!,C $301.39,+C $28.47 shipping,Pre-Owned,False,True
New 3DS black  Nintendo Console region Japanese ♯567,C $171.28,+C $20.55 shipping,Pre-Owned,False,True
New 3DS LL XL Metalic red Japan Nintendo Console region Japanese ♯569,C $178.13,+C $20.55 shipping,Pre-Owned,False,True
"Nintendo New 3DS XL 4GB - Black, With Charger And Stylus, Great Condition",C $274.04,+C $39.24 shipping,Pre-Owned,False,True
IPS Nintendo New 3DS LL XL Metallic Black IPS Screen TOP Japan ver S6538,C $230.19,+C $9.59 shipping,Pre-Owned,False,True
new Style Nintendo 3DS XL Black Handheld Console w/ Box/AR Cards/Charger TESTED,C $367.16,+C $30.42 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Metallic Black Console Stylus working From Japan Used,C $268.50,+C $15.07 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Zelda Majoras Mask Console Box Japanese ver [BOX],C $490.78,Free shipping,Pre-Owned,False,True
NEW Nintendo 3DS XL LL Pearl White Console with Box From Japan [ Brand New ],C $398.99,Free shipping,New (Other),False,True
M1 Ship Free New Nintendo 3DS console LL XL Gray ver Japan,C $185.00,Free shipping,Pre-Owned,True,True
Nintendo New 3DS XL 4GB Handheld Gaming System - Black,C $260.35,+C $36.61 shipping,Pre-Owned,False,True
New 3DS LL XL Metalic blue Japan Nintendo Console region Japanese ♯581,C $191.83,+C $20.55 shipping,Pre-Owned,False,True
New 3DS black  Nintendo Console region Japanese ♯586,C $191.83,+C $20.55 shipping,Pre-Owned,False,True
New 3DS LL XL Pearl White Japan Nintendo Console region Japanese ♯590,C $246.64,+C $20.55 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Black In Box With Charger Stylus US Model Tested,C $356.26,+C $30.09 shipping,Pre-Owned,False,True
(TOP SCREEN IPS!) New 3DS LL In-Built Loopy Capture Card w/USB-C Charging!,C $738.56,+C $49.59 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Pikachu Yellow Console Charger Box Japanese ver [BOX],C $465.75,Free shipping,Pre-Owned,False,True
Dual IPS Nintendo New 3DS XL Pearl White IPS Screen Top Bottom JAPAN,C $548.10,+C $32.89 shipping,Pre-Owned,False,False
L3025 Ship Free Nintendo new 3DS LL XL console Metallic Blue Japan fx,C $178.13,Free shipping,Pre-Owned,True,True
L3024 Ship Free Nintendo new 3DS LL XL console Metallic Blue Japan fx,C $208.98,Free shipping,Pre-Owned,True,True
New 3DS LL XL Metalic blue Japan Nintendo Console region Japanese ♯582,C $171.28,+C $20.55 shipping,Pre-Owned,False,True
Inbuilt Capture Card Gray New Nintendo 3DS XL Console IPS 128gb Region Free,C $808.45,Free shipping,Pre-Owned,False,True
New Nintendo 3DS XL Handheld Game Console Only RED-001 Black Scratched,C $274.04,+C $27.67 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Metallic Red Console Stylus Japanese ver [H],C $225.95,Free shipping,Pre-Owned,False,True
Nintendo New 3DS XL Black System w/Charger US Version FREE Ship!,C $301.39,+C $28.47 shipping,Pre-Owned,False,True
New 3DS LL XL Metalic red Japan Nintendo Console region Japanese ♯596,C $226.09,+C $20.55 shipping,Pre-Owned,False,True
Nintendo New 3DS XL - Pokemon Sun/Moon Solgaleo Lunala Console - Tested/Working,C $329.99,Free shipping,Pre-Owned,False,True
NEW Nintendo 3DS LL XL Console Metallic Blue w/Box Charger Excellent +,C $242.52,Free shipping,Pre-Owned,False,True
New 3DS black  Nintendo Console region Japanese ♯591,C $232.94,+C $20.55 shipping,Pre-Owned,False,True
Nintendo new 3DS LL Console Stylus Box AR card set Pink White Game Japan Cute,C $287.05,Free shipping,Pre-Owned,False,True
Nintendo New 3DS XL - Pokemon Bank + Transporter + 32 GB sd card w games,C $479.57,+C $40.59 shipping,Pre-Owned,False,True
North America- Nintendo New 3DS XL - Pikachu Yellow Edition Rare With Smash Bros,C $623.46,+C $60.54 shipping,New (Other),True,True
Nintendo New 3DS XL Hyrule Edition Gold Complete in Box CIB ZELDA,C $822.15,+C $57.45 shipping,New (Other),False,True
New 3DS LL XL Pearl White Japan Nintendo Console region Japanese ♯571,C $226.09,+C $20.55 shipping,Pre-Owned,False,True
NEW Nintendo 3DS LL XL Lime Green / Black Console System  - No Charger,C $314.47,+C $37.22 shipping,Pre-Owned,True,True
Nintendo New 3DS XL 4GB Handheld Gaming System - Black,C $219.24,+C $43.18 shipping,Pre-Owned,False,False
L1664 Ship Free Nintendo new 3DS LL XL console Metallic Blue Japan fx,C $199.37,Free shipping,Pre-Owned,True,True
New Nintendo 3DS XL LL Monster Hunter X Console w/ Accessories - USA Seller,C $341.19,+C $24.65 shipping,Pre-Owned,False,True
[AS IS 863] New Nintendo 3DS XL LL Metallic Black Console *PLZ READ DESCRIPTION,C $219.10,Free shipping,Pre-Owned,False,True
[ MINT IN BOX ] NINTENDO NEW 3DS XL LL LIME x BLACK Console Japan Version 4272,C $287.62,Free shipping,Pre-Owned,False,True
